,id
19,0704.0020
363,0704.0364
497,0704.0498
521,0704.0522
570,0704.0571
593,0704.0594
596,0704.0597
629,0704.0630
637,0704.0638
759,0704.0760
999,0704.1000
1030,0704.1031
1265,0704.1266
1306,0704.1307
1353,0704.1354
1368,0704.1369
1477,0704.1478
1499,0704.1500
1862,0704.1863
1999,0704.2000
2046,0704.2047
2051,0704.2052
2079,0704.2080
2393,0704.2394
2514,0704.2515
2651,0704.2652
2671,0704.2672
2675,0704.2676
2765,0704.2766
2772,0704.2773
3062,0704.3063
3132,0704.3133
3177,0704.3178
3269,0704.3270
3530,0704.3531
3537,0704.3538
3561,0704.3562
3592,0704.3593
3593,0704.3594
3598,0704.3599
3599,0704.3600
3711,0704.3712
3908,0704.3909
3953,0704.3954
3963,0704.3964
4247,0705.0245
4308,0705.0306
4344,0705.0342
4400,0705.0398
4613,0705.0611
4652,0705.0650
4706,0705.0704
4814,0705.0812
4818,0705.0816
5003,0705.1001
5192,0705.1190
5552,0705.1550
5596,0705.1594
5800,0705.1798
5822,0705.1820
5933,0705.1931
6003,0705.2001
6092,0705.2090
6159,0705.2157
6249,0705.2247
6250,0705.2248
6278,0705.2276
6331,0705.2329
6374,0705.2372
6404,0705.2402
6434,0705.2432
6595,0705.2593
6702,0705.2700
6742,0705.2740
6787,0705.2785
6790,0705.2788
6798,0705.2796
6803,0705.2801
6857,0705.2855
6867,0705.2865
6871,0705.2869
6898,0705.2896
6901,0705.2899
6913,0705.2911
6916,0705.2914
6922,0705.2920
6956,0705.2954
6968,0705.2966
7000,0705.2998
7006,0705.3004
7023,0705.3021
7110,0705.3108
7127,0705.3125
7231,0705.3229
7414,0705.3412
7478,0705.3476
7485,0705.3483
7514,0705.3512
7515,0705.3513
7718,0705.3716
7723,0705.3721
7735,0705.3733
7759,0705.3757
7772,0705.3770
7806,0705.3804
7817,0705.3815
7875,0705.3873
7912,0705.3910
7999,0705.3997
8010,0705.4008
8018,0705.4016
8182,0705.4180
8185,0705.4183
8234,0705.4232
8278,0705.4276
8369,0705.4367
8410,0705.4408
8460,0705.4458
8502,0705.4500
8578,0705.4576
8600,0705.4598
8627,0705.4625
8631,0705.4629
8657,0705.4655
8681,0705.4679
8723,0706.0037
8968,0706.0282
8970,0706.0284
9123,0706.0437
9144,0706.0458
9198,0706.0512
9323,0706.0637
9330,0706.0644
9387,0706.0701
9404,0706.0718
9537,0706.0851
9546,0706.0860
9745,0706.1059
9964,0706.1278
10027,0706.1341
10080,0706.1394
10145,0706.1459
10160,0706.1474
10286,0706.1600
10326,0706.1640
10376,0706.1690
10385,0706.1699
10475,0706.1789
10584,0706.1898
10670,0706.1984
10716,0706.2030
10731,0706.2045
10835,0706.2149
10886,0706.2200
10917,0706.2231
10928,0706.2242
10953,0706.2267
11003,0706.2317
11044,0706.2358
11074,0706.2388
11142,0706.2456
11224,0706.2538
11243,0706.2557
11251,0706.2565
11353,0706.2667
11427,0706.2741
11472,0706.2786
11490,0706.2804
11499,0706.2813
11518,0706.2832
11556,0706.2870
11624,0706.2938
11626,0706.2940
11676,0706.2990
11685,0706.2999
11836,0706.3150
11950,0706.3264
11965,0706.3279
12105,0706.3419
12346,0706.3660
12408,0706.3722
12476,0706.3790
12495,0706.3809
12554,0706.3868
12571,0706.3885
12579,0706.3893
12641,0706.3955
12745,0706.4059
12760,0706.4074
12796,0706.4110
12800,0706.4114
12853,0706.4167
12949,0706.4263
13004,0706.4318
13068,0706.4382
13115,0706.4429
13134,0706.4448
13154,0706.4468
13255,0707.0085
13288,0707.0118
13308,0707.0138
13331,0707.0161
13345,0707.0175
13392,0707.0222
13433,0707.0263
13543,0707.0373
13562,0707.0392
13574,0707.0404
13640,0707.0470
13759,0707.0589
13867,0707.0697
14057,0707.0887
14075,0707.0905
14098,0707.0928
14177,0707.1007
14191,0707.1021
14213,0707.1043
14225,0707.1055
14285,0707.1115
14297,0707.1127
14362,0707.1192
14378,0707.1208
14412,0707.1242
14443,0707.1273
14466,0707.1296
14509,0707.1339
14512,0707.1342
14541,0707.1371
14625,0707.1455
14658,0707.1488
14678,0707.1508
14679,0707.1509
14680,0707.1510
14713,0707.1543
14720,0707.1550
14756,0707.1586
14771,0707.1601
14803,0707.1633
14818,0707.1648
14861,0707.1691
14879,0707.1709
14882,0707.1712
14919,0707.1749
14980,0707.1810
15192,0707.2022
15272,0707.2102
15449,0707.2279
15459,0707.2289
15464,0707.2294
15525,0707.2355
15532,0707.2362
15544,0707.2374
15583,0707.2413
15632,0707.2462
15656,0707.2486
15694,0707.2524
15696,0707.2526
15702,0707.2532
15737,0707.2567
15824,0707.2654
15825,0707.2655
15840,0707.2670
15857,0707.2687
15894,0707.2724
15928,0707.2758
15968,0707.2798
15990,0707.2820
16013,0707.2843
16034,0707.2864
16092,0707.2922
16150,0707.2980
16151,0707.2981
16175,0707.3005
16228,0707.3058
16230,0707.3060
16263,0707.3093
16661,0707.3491
16787,0707.3617
16919,0707.3749
17074,0707.3904
17082,0707.3912
17103,0707.3933
17167,0707.3997
17227,0707.4057
17229,0707.4059
17247,0707.4077
17248,0707.4078
17300,0707.4130
17307,0707.4137
17318,0707.4148
17321,0707.4151
17506,0707.4336
17731,0707.4561
17779,0707.4609
17786,0707.4616
17793,0707.4623
17801,0707.4631
17804,0707.4634
17901,0708.0050
17933,0708.0082
17990,0708.0139
17993,0708.0142
18011,0708.0160
18033,0708.0182
18155,0708.0304
18227,0708.0376
18266,0708.0415
18318,0708.0467
18584,0708.0733
18647,0708.0796
18814,0708.0963
18861,0708.1010
18880,0708.1029
18956,0708.1105
18973,0708.1122
19154,0708.1303
19162,0708.1311
19231,0708.1380
19266,0708.1415
19294,0708.1443
19329,0708.1478
19385,0708.1534
19395,0708.1544
19400,0708.1549
19416,0708.1565
19443,0708.1592
19465,0708.1614
19481,0708.1630
19503,0708.1652
19519,0708.1668
19579,0708.1728
19589,0708.1738
19604,0708.1753
19641,0708.1790
19696,0708.1845
19857,0708.2006
19945,0708.2094
19948,0708.2097
20099,0708.2248
20111,0708.2260
20297,0708.2446
20312,0708.2461
20394,0708.2543
20455,0708.2604
20516,0708.2665
20671,0708.2820
20725,0708.2874
20736,0708.2885
21040,0708.3189
21068,0708.3217
21089,0708.3238
21123,0708.3272
21127,0708.3276
21143,0708.3292
21164,0708.3313
21493,0708.3642
21501,0708.3650
21553,0708.3702
21568,0708.3717
21663,0708.3812
21743,0708.3892
21908,0708.4057
21940,0708.4089
22076,0708.4225
22128,0708.4277
22412,0709.0147
22438,0709.0173
22716,0709.0451
22938,0709.0673
22970,0709.0705
23265,0709.1000
23272,0709.1007
23468,0709.1203
23521,0709.1256
23605,0709.1340
23864,0709.1599
23963,0709.1698
24253,0709.1988
24529,0709.2264
24600,0709.2335
24661,0709.2396
24693,0709.2428
24830,0709.2565
24890,0709.2625
24894,0709.2629
24930,0709.2665
24980,0709.2715
25002,0709.2737
25034,0709.2769
25182,0709.2917
25313,0709.3048
25365,0709.3100
25413,0709.3148
25478,0709.3213
25512,0709.3247
25636,0709.3371
25723,0709.3458
25729,0709.3464
25803,0709.3538
25881,0709.3616
25901,0709.3636
26007,0709.3742
26048,0709.3783
26379,0709.4114
26430,0709.4165
26449,0709.4184
26519,0709.4254
26691,0709.4426
26698,0709.4433
26763,0709.4498
26820,0709.4555
26837,0709.4572
26855,0709.4590
26881,0709.4616
26890,0709.4625
26986,0710.0039
27085,0710.0138
27112,0710.0165
27195,0710.0248
27202,0710.0255
27261,0710.0314
27362,0710.0415
27367,0710.0420
27413,0710.0466
27522,0710.0575
27603,0710.0656
27733,0710.0786
27800,0710.0853
27960,0710.1013
27963,0710.1016
27996,0710.1049
28063,0710.1116
28153,0710.1206
28158,0710.1211
28284,0710.1337
28315,0710.1368
28318,0710.1371
28445,0710.1498
28483,0710.1536
28555,0710.1608
28563,0710.1616
28564,0710.1617
28594,0710.1647
28680,0710.1733
28736,0710.1789
28831,0710.1884
28842,0710.1895
28904,0710.1957
28911,0710.1964
28995,0710.2048
29058,0710.2111
29123,0710.2176
29149,0710.2202
29271,0710.2324
29291,0710.2344
29449,0710.2502
29495,0710.2548
29524,0710.2577
29549,0710.2602
29617,0710.2670
29733,0710.2786
29785,0710.2838
29798,0710.2851
29844,0710.2897
29913,0710.2966
29926,0710.2979
30038,0710.3091
30103,0710.3156
30154,0710.3207
30160,0710.3213
30182,0710.3235
30222,0710.3275
30285,0710.3338
30308,0710.3361
30340,0710.3393
30359,0710.3412
30402,0710.3455
30416,0710.3469
30445,0710.3498
30564,0710.3617
30844,0710.3897
30893,0710.3946
30900,0710.3953
30913,0710.3966
30940,0710.3993
30984,0710.4037
31045,0710.4098
31055,0710.4108
31059,0710.4112
31103,0710.4156
31108,0710.4161
31146,0710.4199
31205,0710.4258
31212,0710.4265
31269,0710.4322
31310,0710.4363
31327,0710.4380
31398,0710.4451
31399,0710.4452
31408,0710.4461
31417,0710.4470
31655,0710.4708
31802,0710.4855
31825,0710.4878
31834,0710.4887
31853,0710.4906
31855,0710.4908
31921,0710.4974
31930,0710.4983
31996,0710.5049
32003,0710.5056
32061,0710.5114
32071,0710.5124
32074,0710.5127
32088,0710.5141
32136,0710.5189
32138,0710.5191
32279,0710.5332
32282,0710.5335
32316,0710.5369
32551,0710.5604
32563,0710.5616
32611,0710.5664
32710,0710.5763
32715,0710.5768
32722,0710.5775
32814,0710.5867
32839,0710.5892
32866,0710.5919
32876,0710.5929
32924,0711.0032
33089,0711.0197
33163,0711.0271
33211,0711.0319
33421,0711.0529
33440,0711.0548
33480,0711.0588
33585,0711.0693
33620,0711.0728
33629,0711.0737
33661,0711.0769
33677,0711.0785
33872,0711.0980
33873,0711.0981
34075,0711.1183
34090,0711.1198
34355,0711.1463
34403,0711.1511
34436,0711.1544
34463,0711.1571
34553,0711.1661
34783,0711.1891
34818,0711.1926
34819,0711.1927
34875,0711.1983
34939,0711.2047
35081,0711.2189
35108,0711.2216
35177,0711.2285
35498,0711.2606
35552,0711.2660
35605,0711.2713
35793,0711.2901
35869,0711.2977
35880,0711.2988
35916,0711.3024
35921,0711.3029
35936,0711.3044
36053,0711.3161
36099,0711.3207
36144,0711.3252
36364,0711.3472
